Order,File_Type,SKU_number,SoldFlag,SoldCount,MarketingType,ReleaseNumber,New_Release_Flag,StrengthFactor,PriceReg,ReleaseYear,ItemCount,LowUserPrice,LowNetPrice
34,historical,542339,0.0,0.0,d,3,1,446722.0,44.95,2005,85,17.7,10.97
35,historical,547880,0.0,0.0,d,0,0,280195.0,168.25,1997,69,7.95,33.89
36,historical,561829,0.0,0.0,d,12,1,4073832.0,224.95,2003,22,93.99,10.96
37,historical,567748,0.0,0.0,d,10,1,497215.0,77.95,2010,39,53.3,33.49
38,historical,569884,0.0,0.0,d,3,1,653610.0,74.95,1992,20,26.99,82.32
39,historical,576667,0.0,0.0,d,3,1,823824.0,123.95,2008,33,30.96,11.99
40,historical,607032,0.0,0.0,d,10,1,863931.0,215.31,2010,73,103.99,33.99
41,historical,607243,0.0,0.0,d,3,1,2136904.0,106.67,2002,23,59.67,17.27
42,historical,609142,0.0,0.0,d,2,1,1384204.0,69.95,2001,68,60.6,18.99
43,historical,617600,0.0,0.0,d,4,1,633960.0,65.25,2001,30,19.67,8.92
44,historical,635204,1.0,1.0,d,10,1,374220.0,125.0,2008,35,128.79,51.99
45,historical,643315,1.0,1.0,d,8,1,5246811.0,33.95,2002,11,52.01,25.99
46,historical,754098,0.0,0.0,d,1,0,1414207.0,160.0,2009,23,112.16,33.8
47,historical,875719,0.0,0.0,d,0,0,2439559.0,52.95,2005,45,42.19,7.96
48,historical,875765,1.0,1.0,d,2,1,648434.0,30.95,1998,70,46.07,9.48
49,historical,906616,1.0,1.0,d,3,1,1948928.0,43.78,1995,32,60.98,27.58
50,historical,909496,0.0,0.0,d,3,1,2979598.0,71.95,1991,19,53.46,14.62
51,historical,913331,0.0,0.0,d,2,1,348628.0,72.45,1998,25,19.99,39.99
52,historical,920994,1.0,1.0,d,0,0,608444.0,26.5,1999,68,40.25,19.98
53,historical,111997,0.0,0.0,d,38,1,1576220.0,52.25,2011,37,7.5,12.43
54,historical,115750,0.0,0.0,d,3,1,1205216.0,120.67,2003,58,143.14,70.27
55,historical,143053,1.0,1.0,d,5,1,1961401.0,29.0,2005,18,32.99,7.74
56,historical,1447623,0.0,0.0,d,5,1,624574.0,90.89524344324518,2008,20,96.97,48.93
57,historical,1449431,0.0,0.0,d,2,1,1088497.0,130.75,2007,18,30.98248656474811,63.96
58,historical,144961,1.0,1.0,d,6,1,3289501.0,75.33,2005,29,43.5,11.49
59,historical,154321,1.0,1.0,d,4,1,3074866.0,41.75,2000,35,33.98,10.78
60,historical,159482,0.0,0.0,d,1,0,2815601.0,51.95,2001,16,41.53,32.88
61,historical,163847,1.0,1.0,d,2,1,2024297.0,130.0,1999,18,105.31,89.51
62,historical,1782464,1.0,1.0,d,2,1,571870.0,40.95,2012,28,34.1,36.84
63,historical,184091,0.0,0.0,d,1,0,808413.0,140.95,2005,31,30.98248656474811,39.72
64,historical,202261,1.0,1.0,d,7,1,2395820.0,104.95,2000,27,72.11,12.88
65,historical,202274,1.0,1.0,d,3,1,2668720.0,199.95,2002,41,4.91,28.99
66,historical,2407771,0.0,0.0,d,19,1,131131.0,29.5,1996,23,33.31,26.99
67,historical,288419,0.0,0.0,d,4,1,2774916.0,173.0,2005,20,40.89,28.48
68,historical,320961,0.0,0.0,d,1,0,1206960.0,69.95,2004,18,37.21,48.99
71,historical,416034,0.0,0.0,d,4,1,2831417.0,24.38,2001,73,58.92,4.0
72,historical,534275,0.0,0.0,d,4,1,1074176.0,112.5,2000,98,30.98248656474811,0.0
73,historical,540508,0.0,0.0,d,7,1,1915485.0,54.8,2004,32,44.77,92.63
74,historical,56578,0.0,0.0,d,2,1,1048853.0,97.35,2003,36,64.91,59.65
75,historical,573522,0.0,0.0,d,2,1,507898.0,54.95,1995,36,19.34,12.99
76,historical,597332,1.0,1.0,d,1,0,2429458.0,49.0,2002,21,51.94,32.29
77,historical,602185,1.0,1.0,d,4,1,571045.0,125.0,2009,91,30.98248656474811,8.54
78,historical,609113,1.0,1.0,d,2,1,1838768.0,159.95,2000,26,54.58,101.21
79,historical,613931,1.0,1.0,d,4,1,1099429.0,9.56,2010,76,4.0,6.24
80,historical,615086,1.0,1.0,d,4,1,5090654.0,45.0,1997,29,32.18,18.18
81,historical,641332,0.0,0.0,d,2,1,2038184.0,115.0,2002,25,47.23,42.99
82,historical,682967,1.0,1.0,d,0,0,1313634.0,20.5,2003,52,36.27,14.99
83,historical,705864,1.0,1.0,d,6,1,3364314.0,90.89524344324518,2012,22,158.81,30.0
84,historical,715964,0.0,0.0,d,4,1,682746.0,208.67,2012,26,83.65,12.59
85,historical,716418,1.0,1.0,d,12,1,3476445.0,90.89524344324518,2008,33,120.01,49.49
86,historical,849005,0.0,0.0,d,6,1,2824667.0,87.56,1998,32,66.97,38.36
87,historical,889635,0.0,0.0,d,1,0,5130755.0,53.95,2002,15,37.62,105.99
88,historical,907998,1.0,1.0,d,1,0,408363.0,85.95,1997,22,63.07,48.98
89,historical,914430,1.0,1.0,d,1,0,2986907.0,41.0,2001,24,30.98248656474811,23.83
90,historical,914892,1.0,1.0,d,9,1,1248257.0,21.25,2000,34,87.97,12.74
91,historical,916266,1.0,1.0,d,2,1,1773189.0,62.0,1999,38,25.14,39.93
92,historical,415834,0.0,0.0,d,15,1,701254.0,90.0,2008,19,62.0,245.33
93,historical,110747,0.0,0.0,d,6,1,412597.0,151.88,2008,24,41.4,34.99
94,historical,2250597,1.0,1.0,d,2,1,1123365.0,98.03,2008,41,103.91,71.38
95,historical,549258,1.0,1.0,d,15,1,596788.0,131.35,1995,54,73.4,53.47
96,historical,877061,1.0,1.0,d,3,1,1624425.0,88.29,2012,54,103.69,88.99
97,historical,913893,1.0,1.0,d,7,1,1072639.0,67.91,2011,25,53.91,45.27
98,historical,531852,0.0,0.0,d,2,1,1018066.0,39.97,2009,46,100.23,38.44
99,historical,109304,0.0,0.0,d,11,1,2151445.0,147.0,2008,38,78.8,52.85
100,historical,109306,0.0,0.0,d,10,1,1499803.0,168.5,2008,26,108.85,20.0
101,historical,61125,0.0,0.0,d,10,1,1507077.0,149.99,2007,66,10.19,7.97
102,historical,879548,1.0,1.0,d,7,1,1213899.0,22.78,2010,51,132.46,13.39
103,historical,632083,0.0,0.0,d,3,1,309197.0,35.39,2012,22,81.03,95.74
104,historical,879991,1.0,1.0,d,1,0,2980187.0,137.0,2009,35,143.63,27.99
105,historical,417259,0.0,0.0,d,3,1,197970.0,90.89524344324518,2010,19,113.99,282.29
106,historical,878475,1.0,1.0,d,7,1,559655.0,90.89524344324518,2011,17,97.0,201.63
107,historical,109764,0.0,0.0,d,9,1,414704.0,98.0,2006,20,98.26,24.96
108,historical,309789,0.0,0.0,d,16,1,983306.0,236.58,2011,24,122.84,288.58
109,historical,696709,0.0,0.0,d,8,1,3086671.0,38.98,2009,16,68.99,38.99
110,historical,616936,0.0,0.0,d,7,1,1861576.0,40.1,2010,20,132.94,41.18
111,historical,699262,1.0,1.0,d,10,1,2914945.0,25.98,2011,20,111.5,25.98
112,historical,312207,0.0,0.0,d,3,1,1875110.0,102.0,2001,24,43.95,26.35
113,historical,909341,1.0,1.0,d,2,1,1408387.0,90.89524344324518,1990,22,44.75,56.23
114,historical,2389077,1.0,1.0,d,2,1,1230078.0,105.0,1994,28,188.89,54.45
115,historical,120072,1.0,1.0,d,11,1,919734.0,141.33,2008,35,107.77,48.98
116,historical,537375,0.0,0.0,d,6,1,1117319.0,249.07,2011,30,102.72,193.98
117,historical,115541,0.0,0.0,d,2,1,518837.0,33.0,2003,87,41.97,8.93
118,historical,119207,1.0,1.0,d,10,1,23535.0,191.2,2011,42,30.62,139.95
119,historical,60208,1.0,1.0,d,4,1,1379409.0,89.95,2002,60,17.07,6.98
120,historical,51626,1.0,1.0,d,24,1,400275.0,205.6,2010,51,43.94,69.5
121,historical,571199,1.0,1.0,d,0,0,1809618.0,9.98,2010,38,109.72,9.98
122,historical,540706,0.0,0.0,d,11,1,77800.0,147.73,2013,36,120.18,30.99
123,historical,873654,0.0,0.0,d,7,1,259889.0,22.41,2012,5,150.99,29.01
124,historical,628630,0.0,0.0,d,10,1,588465.0,146.27,2011,16,97.34,48.99
125,historical,627834,0.0,0.0,d,6,1,194787.0,207.6,2013,25,58.28,170.58
126,historical,714647,1.0,1.0,d,4,1,5587626.0,41.0,1998,22,61.43,15.92
127,historical,534071,1.0,1.0,d,2,1,1784322.0,79.8,1993,65,59.95,15.94
128,historical,607618,0.0,0.0,d,2,1,162623.0,127.0,1980,36,78.99,110.56
129,historical,633902,0.0,0.0,d,0,0,1790007.0,57.55,1995,19,74.74,157.38
130,historical,54865,1.0,1.0,d,6,1,19420.0,57.4,2008,119,35.91,23.36
131,historical,133234,0.0,0.0,d,9,1,937078.0,138.6,2009,21,112.22,21.99
132,historical,633149,1.0,1.0,d,10,1,808289.0,83.8,2011,28,55.71,23.47
133,historical,2438396,1.0,1.0,d,0,0,955299.0,72.5,1995,35,48.8,88.28
134,historical,146251,0.0,0.0,d,4,1,561345.0,67.4,2009,21,97.03,112.05
135,historical,435047,0.0,0.0,d,4,1,1106292.0,187.53,2012,24,116.75,103.39
136,historical,435042,0.0,0.0,d,4,1,50887.0,187.53,2012,29,125.49,25.69
137,historical,879713,1.0,1.0,d,4,1,1374149.0,44.11,2010,31,60.96,42.04
138,historical,743055,1.0,1.0,d,11,1,458946.0,214.0,2012,37,118.99,88.99
139,historical,830221,0.0,0.0,d,6,1,1816753.0,59.0,1998,33,46.14,13.94
140,historical,614053,0.0,0.0,d,2,1,2335491.0,52.95,2004,36,34.88,6.92
141,historical,864703,0.0,0.0,d,28,1,68930.0,43.95,2014,36,37.29,18.78
142,historical,2507677,1.0,1.0,d,2,1,2050319.0,42.86,1978,44,30.98248656474811,43.52
143,historical,658449,0.0,0.0,d,1,0,508462.0,244.5,2010,22,30.98248656474811,157.73
144,historical,847859,0.0,0.0,d,3,1,6814589.0,90.89524344324518,1998,32,49.15,0.0
145,historical,174575,0.0,0.0,d,7,1,1804625.0,41.99,2000,18,40.1,36.28
146,historical,878095,0.0,0.0,d,2,1,2740071.0,114.95,2004,13,12.19,18.23
147,historical,879753,1.0,1.0,d,9,1,6560399.0,90.89524344324518,1988,14,140.99,64.45
148,historical,435148,0.0,0.0,d,3,1,588703.0,447.95,2008,16,137.62,248.08
149,historical,3123749,1.0,1.0,d,3,1,2560955.0,57.0,1999,15,62.69,34.55
150,historical,293844,0.0,0.0,d,8,1,1263723.0,125.95,2004,32,88.99,56.98
151,historical,614823,0.0,0.0,d,1,0,3935022.0,123.95,1993,46,4.36,19.95
152,historical,915827,1.0,1.0,d,1,0,117352.0,21.95,2005,30,30.0,8.99
153,historical,622505,0.0,0.0,d,2,1,3243372.0,42.0,1981,27,102.98,19.98
154,historical,816174,1.0,1.0,d,0,0,118604.0,14.99,1997,17,46.99,11.93
155,historical,615006,0.0,0.0,d,8,1,983797.0,37.0,1998,82,43.98,23.96
156,historical,342971,0.0,0.0,d,8,1,438939.0,9.53,2004,43,36.67,10.05
157,historical,163128,1.0,1.0,d,2,1,847328.0,243.25,2010,30,31.92,29.76
158,historical,2648307,1.0,1.0,d,1,0,6082705.0,39.95,2000,18,15.98,85.75
159,historical,906040,1.0,1.0,d,4,1,1947904.0,90.89524344324518,2011,18,106.49,26.2
160,historical,878586,1.0,1.0,d,10,1,173235.0,134.95,2010,17,120.29,15.94
161,historical,533840,0.0,0.0,d,9,1,900151.0,159.95,2009,12,68.99,176.96
162,historical,244125,0.0,0.0,d,1,0,78381.0,114.95,2011,32,21.19,29.64
163,historical,538702,1.0,1.0,d,12,1,12091.0,317.25,2012,64,115.99,73.98
164,historical,2263139,0.0,0.0,d,5,1,1172603.0,83.07,2009,27,58.07,68.14
165,historical,538834,1.0,1.0,d,8,1,1783.0,274.75,2013,108,97.69,42.71
166,historical,705595,0.0,0.0,d,2,1,7416426.0,90.89524344324518,2011,26,102.99,9.46
167,historical,880633,1.0,1.0,d,11,1,60362.0,142.25,2014,32,84.17,88.97
168,historical,667265,0.0,0.0,d,8,1,1224050.0,259.95,2012,19,109.64,74.5
169,historical,57602,0.0,0.0,d,7,1,683902.0,156.95,2007,39,99.03,43.99
170,historical,617902,1.0,1.0,d,2,1,1812663.0,91.95,2010,20,15.81,7.91
171,historical,533361,0.0,0.0,d,6,1,735301.0,165.95,2010,27,111.11,37.53
172,historical,904325,0.0,0.0,d,5,1,1818880.0,119.14,2011,35,135.74,32.0
173,historical,608043,1.0,1.0,d,2,1,1629073.0,160.95,2003,58,163.79,11.99
175,historical,745397,0.0,0.0,d,8,1,2205313.0,236.95,2009,22,191.79,149.99
176,historical,244052,1.0,1.0,d,7,1,65950.0,207.95,2011,46,162.12,146.67
177,historical,745385,0.0,0.0,d,4,1,1610275.0,182.95,2009,22,183.87,57.25
178,historical,867507,1.0,1.0,d,17,1,553730.0,134.95,2014,16,109.97,63.99
179,historical,535404,1.0,1.0,d,6,1,40364.0,175.95,2013,54,103.43,95.72
180,historical,533620,1.0,1.0,d,7,1,190068.0,118.95,2012,26,28.99,81.83
181,historical,366209,0.0,0.0,d,2,1,2768467.0,53.95,2000,21,63.41,18.97
182,historical,664280,0.0,0.0,d,13,1,375194.0,39.99,2013,15,27.94,38.61
183,historical,192686,0.0,0.0,d,2,1,2525430.0,338.95,1998,12,201.59,48.99
185,historical,2523800,0.0,0.0,d,5,1,2563592.0,120.0,1992,23,57.97,73.29
186,historical,54963,0.0,0.0,d,1,0,2397383.0,47.95,1996,47,18.93,16.24
187,historical,410185,0.0,0.0,d,3,1,1228149.0,162.95,2008,24,49.98,109.31
188,historical,229151,0.0,0.0,d,7,1,931314.0,64.95,2008,51,35.27,29.98
189,historical,142019,0.0,0.0,d,4,1,3601063.0,90.89524344324518,2009,14,46.61,56.33
190,historical,873623,1.0,1.0,d,2,1,2516023.0,52.0,1993,43,53.23,9.69
191,historical,610043,1.0,1.0,d,8,1,123536.0,37.99,2012,119,17.61,10.92
192,historical,899627,1.0,1.0,d,0,0,3271251.0,90.89524344324518,1973,14,73.99,62.19
193,historical,2039339,1.0,1.0,d,5,1,2447484.0,192.0,2010,24,192.45,231.83
195,historical,651540,0.0,0.0,d,1,0,3313712.0,241.95,1997,16,80.28,26.56
196,historical,662639,0.0,0.0,d,0,0,2668061.0,94.95,2010,20,78.99,72.99
197,historical,610196,0.0,0.0,d,0,0,211772.0,47.0,2013,70,4.38,30.29
198,historical,558678,0.0,0.0,d,0,0,6939114.0,114.35,1996,19,10.98,13.93
199,historical,130230,0.0,0.0,d,3,1,828009.0,109.67,1996,25,162.35,55.99
200,historical,145782,0.0,0.0,d,2,1,2141586.0,53.0,2007,18,18.99,4.99
201,historical,2331490,1.0,1.0,d,1,0,1283466.0,102.59,1965,29,52.42,83.12
202,historical,255870,0.0,0.0,d,0,0,867675.0,89.95,2012,70,73.99,11.33
203,historical,532636,0.0,0.0,d,0,0,739668.0,125.7,2007,13,48.93,62.84
204,historical,546009,1.0,2.0,d,5,1,307941.0,38.94,2012,54,36.23,33.99
205,historical,550296,1.0,1.0,d,7,1,1653962.0,7.99,2006,40,125.87,7.99
206,historical,609593,1.0,1.0,d,6,1,975712.0,114.95,2007,75,8.48,7.95
207,historical,61183,0.0,0.0,d,4,1,2044417.0,172.95,2003,46,22.97,5.03
208,historical,764592,1.0,1.0,d,1,0,466271.0,91.95,1999,39,63.34,15.62
209,historical,788220,0.0,0.0,d,1,0,141200.0,176.95,2003,25,33.99,63.9
210,historical,809110,1.0,2.0,d,2,1,1866044.0,68.25,2011,23,56.68,27.99
211,historical,876162,0.0,0.0,d,10,1,1088643.0,95.8,2002,43,75.39,40.4
212,historical,144924,0.0,0.0,d,5,1,804722.0,108.6,2004,30,53.99,43.96
213,historical,192743,0.0,0.0,d,1,0,1351885.0,64.95,2002,17,80.42,72.54
214,historical,609784,0.0,0.0,d,16,1,1026693.0,55.95,2009,43,57.4,11.38
215,historical,619562,0.0,0.0,d,6,1,1713457.0,26.99,2004,35,90.98,13.94
216,historical,765009,0.0,0.0,d,2,1,3744269.0,115.95,2002,32,184.9,4.58
217,historical,788734,1.0,1.0,d,0,0,2835374.0,63.95,1999,21,63.99,51.59
218,historical,807054,1.0,1.0,d,1,0,403864.0,55.95,2007,41,53.94,8.13
219,historical,878479,0.0,0.0,d,4,1,890965.0,32.97,2000,34,33.99,30.99
220,historical,916660,0.0,0.0,d,2,1,2476525.0,58.95,2000,31,66.32,37.59
221,historical,698852,0.0,0.0,d,2,1,3399020.0,88.0,2007,13,95.96,63.51
222,historical,111376,0.0,0.0,d,6,1,1547223.0,68.89,2010,26,53.87,52.99
223,historical,699288,1.0,2.0,d,6,1,3176082.0,42.96,2011,12,103.46,39.99
224,historical,107971,0.0,0.0,d,5,1,2425489.0,13.28,2003,32,100.69,13.28
225,historical,610393,1.0,2.0,d,13,1,9833.0,170.25,2013,59,73.86,103.94
226,historical,705502,1.0,1.0,d,11,1,638105.0,39.96,2010,20,83.83,39.31
227,historical,618668,0.0,0.0,d,2,1,31783.0,34.6,1996,61,68.37,27.99
228,historical,615360,0.0,0.0,d,4,1,657507.0,54.99,2008,33,28.05,13.34
229,historical,664811,1.0,1.0,d,10,1,1075607.0,133.4,2013,24,117.34,49.0
230,historical,2841191,1.0,2.0,d,0,0,7396469.0,4.0,1983,55,63.94,4.0
231,historical,844117,0.0,0.0,d,7,1,254808.0,90.89524344324518,1986,34,147.99,49.94
232,historical,141764,0.0,0.0,d,8,1,1030744.0,49.01,2007,75,26.96,21.0
233,historical,917276,1.0,2.0,d,0,0,749817.0,75.0,2013,34,27.79,34.98
234,historical,639225,1.0,1.0,d,3,1,223098.0,133.29,2009,50,143.8,86.99
235,historical,434997,0.0,0.0,d,3,1,251317.0,219.0,2011,24,103.85,52.96
236,historical,622404,0.0,0.0,d,2,1,547153.0,98.56,1990,26,40.29,42.99
237,historical,2560872,1.0,2.0,d,1,0,4858214.0,84.43,1982,30,63.94,57.87
238,historical,169418,0.0,0.0,d,4,1,784460.0,160.95,2007,23,4.58,73.18
239,historical,537968,0.0,0.0,d,2,1,1104542.0,86.95,2004,28,39.47,43.93
240,historical,177631,0.0,0.0,d,3,1,1247846.0,203.95,2001,43,15.8,19.08
241,historical,768490,0.0,0.0,d,0,0,1178022.0,190.75,1999,58,16.98,62.85
242,historical,533487,0.0,0.0,d,13,1,42773.0,41.95,2012,81,29.55,22.29
243,historical,2560130,0.0,0.0,d,4,1,1860821.0,120.0,1995,17,39.99,36.44
244,historical,644600,0.0,0.0,d,4,1,898392.0,19.69,2012,28,78.23,18.74
245,historical,609102,0.0,0.0,d,2,1,1974269.0,171.95,2000,76,107.91,10.94
246,historical,699313,0.0,0.0,d,6,1,420866.0,28.98,2012,17,151.63,28.82
247,historical,538466,0.0,0.0,d,13,1,21361.0,289.0,2013,81,103.5,93.51
248,historical,1822465,1.0,2.0,d,11,1,1227053.0,234.3,2013,13,30.98248656474811,45.92
249,historical,2258067,0.0,0.0,d,2,1,75094.0,17.99,2009,23,70.35,53.78
250,historical,562106,0.0,0.0,d,5,1,2579727.0,209.95,2009,25,101.39,52.45
251,historical,170123,0.0,0.0,d,5,1,466559.0,76.95,2010,35,90.51,27.99
252,historical,170122,0.0,0.0,d,10,1,1058175.0,104.95,2010,36,61.99,49.64
253,historical,192787,1.0,1.0,d,4,1,1112580.0,118.0,2000,20,86.9,85.89
254,historical,880242,1.0,2.0,d,6,1,2133281.0,20.98,2010,43,26.88,12.88
255,historical,191922,0.0,0.0,d,4,1,1688937.0,12.99,2001,76,85.91,12.99
256,historical,613212,0.0,0.0,d,0,0,643528.0,129.0,2011,85,10.53,13.03
257,historical,390199,1.0,1.0,d,0,0,2905343.0,39.95,2002,31,41.79,9.41
258,historical,617351,0.0,0.0,d,0,0,516114.0,51.0,2013,52,44.95,63.99
259,historical,655075,1.0,2.0,d,0,0,117842.0,54.0,2013,36,23.89,23.99
260,historical,539971,1.0,2.0,d,3,1,113986.0,59.99,2011,40,25.14,40.72
261,historical,547943,0.0,0.0,d,2,1,699635.0,210.95,1994,47,53.44,118.54
262,historical,108115,0.0,0.0,d,11,1,1970080.0,75.14,2006,24,14.43,27.99
263,historical,109900,0.0,0.0,d,8,1,257796.0,175.39,2006,31,200.23,153.99
264,historical,110954,0.0,0.0,d,9,1,831685.0,163.0,2007,55,36.91,8.98
265,historical,170155,1.0,1.0,d,2,1,1505681.0,231.95,2010,25,99.98,26.12
266,historical,294020,0.0,0.0,d,4,1,1515900.0,349.95,1999,58,112.58,32.7
267,historical,362106,0.0,0.0,d,1,0,1487837.0,160.0,1996,22,66.98,63.01
268,historical,537869,0.0,0.0,d,2,1,3348995.0,145.55,1991,19,132.99,25.99
269,historical,56502,1.0,1.0,d,20,1,33804.0,57.65,2010,58,55.49,40.79
270,historical,60283,0.0,0.0,d,3,1,117474.0,25.0,2005,109,5.48,26.84
271,historical,60350,0.0,0.0,d,8,1,2324700.0,61.95,2002,65,60.0,12.7
272,historical,606819,0.0,0.0,d,3,1,215415.0,25.15,2002,36,148.99,31.98
273,historical,61081,0.0,0.0,d,2,1,4545108.0,19.44,2001,30,68.23,19.44
274,historical,614231,0.0,0.0,d,3,1,1008946.0,127.95,2011,64,55.43,13.63
275,historical,636248,0.0,0.0,d,3,1,1277293.0,99.0,2000,29,54.99,73.54
276,historical,527991,1.0,1.0,d,1,0,1037233.0,82.95,2010,70,30.98248656474811,23.99
277,historical,57085,1.0,1.0,d,1,0,314875.0,116.0,2004,62,70.94,26.98
278,historical,843456,1.0,3.0,d,1,0,2166227.0,42.56,1983,18,57.76,73.94
279,historical,110090,1.0,1.0,d,15,1,578545.0,43.85,2009,20,103.99,36.85
280,historical,550813,1.0,1.0,d,10,1,218166.0,28.98,2011,70,33.95,31.49
281,historical,284934,0.0,0.0,d,11,1,1162587.0,35.31,2008,40,143.23,33.99
282,historical,111079,0.0,0.0,d,10,1,445830.0,79.13,2008,34,143.39,20.16
283,historical,309790,0.0,0.0,d,8,1,2036024.0,90.89524344324518,2011,21,127.99,202.97
284,historical,628628,0.0,0.0,d,2,1,465442.0,90.89524344324518,2011,21,64.9,602.4
285,historical,534102,1.0,1.0,d,2,1,69988.0,35.45,1989,83,34.99,23.49
286,historical,716267,0.0,0.0,d,14,1,882593.0,212.27,2011,16,133.01,428.48
287,historical,623015,0.0,0.0,d,13,1,896933.0,266.67,2012,27,114.99,95.0
288,historical,626253,1.0,1.0,d,6,1,1475691.0,159.27,2010,33,41.05,16.98
289,historical,741977,0.0,0.0,d,2,1,792890.0,173.0,2009,40,117.05,189.31
290,historical,540851,0.0,0.0,d,5,1,77474.0,209.33,2012,45,128.99,349.65
291,historical,747023,1.0,3.0,d,8,1,2062611.0,90.89524344324518,2010,23,101.28,44.95
292,historical,56062,1.0,2.0,d,1,0,1972984.0,61.25,1996,47,30.99,29.2
293,historical,608348,1.0,2.0,d,2,1,375965.0,90.89524344324518,1975,31,77.98,148.59
294,historical,766351,0.0,0.0,d,6,1,663679.0,90.89524344324518,2011,18,105.48,41.98
295,historical,254149,0.0,0.0,d,1,0,342973.0,82.95,2010,70,4.0,13.98
296,historical,532087,0.0,0.0,d,9,1,138070.0,76.95,2011,47,46.79,48.99
297,historical,664111,1.0,3.0,d,16,1,60333.0,242.95,2014,47,58.99,78.99
298,historical,583698,1.0,2.0,d,0,0,344092.0,26.6,1992,25,81.57,53.55
299,historical,236714,0.0,0.0,d,2,1,1462570.0,55.0,1998,36,53.88,21.43
300,historical,105606,1.0,1.0,d,2,1,921252.0,220.0,2002,17,102.99,62.91
301,historical,210943,0.0,0.0,d,1,0,927253.0,23.95,2005,34,15.14,14.84
302,historical,347484,1.0,1.0,d,2,1,499184.0,89.0,2000,80,43.98,12.97
303,historical,643881,1.0,4.0,d,18,1,1353634.0,261.95,2010,17,86.59,225.5
304,historical,56911,1.0,1.0,d,8,1,150464.0,73.95,2009,44,37.26,28.57
305,historical,110244,0.0,0.0,d,10,1,5633.0,35.0,2008,196,83.99,25.72
306,historical,110355,0.0,0.0,d,1,0,28653.0,17.09,2010,43,98.49,62.98
307,historical,696686,0.0,0.0,d,13,1,1621457.0,90.89524344324518,2009,23,122.28,12.99
308,historical,540784,1.0,2.0,d,5,1,16535.0,244.8,2013,130,113.09,103.87
309,historical,132925,0.0,0.0,d,18,1,174667.0,84.6,2009,44,48.49,39.0
310,historical,552629,1.0,2.0,d,6,1,74950.0,232.45,2004,70,138.89,103.8
311,historical,288729,0.0,0.0,d,7,1,692106.0,182.0,2010,23,91.42,602.99
312,historical,146451,0.0,0.0,d,12,1,1259065.0,203.67,2010,34,103.98,602.99
313,historical,540945,0.0,0.0,d,8,1,643887.0,119.0,2011,20,23.98,98.99
